Form,Clay_lb_wet,Default_glaze_g,Notes
Bowl Large,4.75,215,4 1/2–5 lb or extra large 6–8 lb
Serving Dish Small (Pasta),4,181,"Wide, ~4 lb"
Serving Dish Medium,5,227,~5 lb
Serving Dish Large,6.5,295,6–7 lb
Cream & Sugar (Creamer),0.75,34,Creamer ~3/4 lb
Sugar Jar,1,45,~1 lb or more
Honey Jar,1.25,57,~1 1/4 lb
Garlic Jar,1.25,57,Same as Honey Jar
Crock Small,1.75,79,~1 3/4 lb
Crock Medium,3,136,~3 lb
Crock Large,4,181,~4 lb
Salad Plate Small,2.5,113,~2 1/2 lb
Salad Plate Medium-Large,3,136,~3 lb or more
Fruit Bowl,4.5,204,~4–5 lb
